2013-03-06 19:59:29,106 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testKeyOnlyFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,132 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testKeyOnlyFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,133 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testTimestampsFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,140 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testTimestampsFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,140 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testColumnPrefixFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,144 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testColumnPrefixFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,145 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testPrefixFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,146 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testPrefixFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,147 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testPageFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,147 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testPageFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,148 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testInclusiveStopFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,154 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testInclusiveStopFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,155 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testQualifierFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,187 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testQualifierFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,188 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testFamilyFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,196 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testFamilyFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,197 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testRowFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,204 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testRowFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,205 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testValueFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,214 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testValueFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,220 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testSkipFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,229 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testSkipFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,237 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testFilterList Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,238 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testFilterList Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
